Año,Min,FG %,3PT%,FT%,Receptions,Assists,BLK(Tapones),STL(Recoveries),PF(Personal Faults),TO(Ball Lost),PTS_next_match,WinBinary,LocalPoints,VisitorPoints,LebronTeamPoints,OtherTeamPoints,Local_Binary,FG_made,FG_attempted,FT_made,FT_attempted,3PTS_made,3PTS_attempted,AñoMes,3PT%_rolling_mean_4,3PTS_attempted_rolling_mean_4,3PTS_made_rolling_mean_4,Assists_rolling_mean_4,Año_rolling_mean_4,BLK(Tapones)_rolling_mean_4,FG %_rolling_mean_4,FG_attempted_rolling_mean_4,FG_made_rolling_mean_4,FT%_rolling_mean_4,FT_attempted_rolling_mean_4,FT_made_rolling_mean_4,LebronTeamPoints_rolling_mean_4,LocalPoints_rolling_mean_4,Local_Binary_rolling_mean_4,OtherTeamPoints_rolling_mean_4,PF(Personal Faults)_rolling_mean_4,Receptions_rolling_mean_4,STL(Recoveries)_rolling_mean_4,TO(Ball Lost)_rolling_mean_4,VisitorPoints_rolling_mean_4,WinBinary_rolling_mean_4,three_point_ratio,free_throw_ratio,lebron_team_points_ratio,three_point_ratio_rolling_mean_4,free_throw_ratio_rolling_mean_4,lebron_team_points_ratio_rolling_mean_4
2018.0,32,0.563,0.0,0.8,3.0,1.0,2.0,1.0,1.0,2.0,10.0,0.0,133.0,99.0,133.0,99.0,0.0,9.0,16.0,8.0,10.0,0.0,1.0,2018-01,0.0555,4.0,0.5,6.0,2018.0,1.75,0.5269999999999999,18.75,9.75,0.60375,8.75,5.25,112.75,113.0,0.25,101.5,1.75,6.0,2.0,5.25,101.25,0.25,0.0,0.8,0.07518796992481203,0.05555555555555555,0.6038461538461539,0.22068059450268335
2018.0,27,0.5,0.33299999999999996,0.333,8.0,5.0,2.0,0.0,2.0,3.0,33.0,0.0,127.0,99.0,127.0,99.0,0.0,4.0,8.0,1.0,3.0,1.0,3.0,2018-01,0.13874999999999998,3.75,0.75,5.75,2018.0,2.25,0.5425,16.75,9.0,0.6244999999999999,7.5,5.0,118.75,118.75,0.0,100.25,2.0,6.75,1.75,4.5,100.25,0.0,0.3333333333333333,0.3333333333333333,0.25984251968503935,0.1388888888888889,0.6246794871794872,0.20797132151132183
2018.0,37,0.522,0.5710000000000001,0.714,10.0,9.0,1.0,6.0,1.0,3.0,19.0,1.0,131.0,127.0,127.0,131.0,1.0,12.0,23.0,5.0,7.0,4.0,7.0,2018-01,0.2815,5.0,1.75,6.5,2018.0,1.5,0.50625,18.0,9.0,0.6492500000000001,6.0,4.25,121.0,122.0,0.25,106.0,1.5,7.25,2.5,3.25,105.0,0.25,0.5714285714285714,0.7142857142857143,0.14960629921259844,0.28174603174603174,0.6494047619047619,0.18816950648396297
2018.0,33,0.5329999999999999,0.0,1.0,7.0,6.0,1.0,1.0,1.0,4.0,24.0,0.0,102.0,88.0,102.0,88.0,0.0,8.0,15.0,3.0,3.0,0.0,2.0,2018-01,0.226,3.25,1.25,5.25,2018.0,1.5,0.5295,15.5,8.25,0.7117500000000001,5.75,4.25,122.25,123.25,0.25,104.25,1.25,7.0,2.0,3.0,103.25,0.25,0.0,1.0,0.23529411764705882,0.2261904761904762,0.7119047619047619,0.17998272661737716
2018.0,34,0.588,0.0,1.0,6.0,8.0,1.0,4.0,2.0,3.0,29.0,1.0,127.0,110.0,110.0,127.0,1.0,10.0,17.0,4.0,4.0,0.0,2.0,2018-01,0.226,3.5,1.25,7.0,2018.0,1.25,0.53575,15.75,8.5,0.7617499999999999,4.25,3.25,116.5,121.75,0.5,111.25,1.5,7.75,2.75,3.25,106.0,0.5,0.0,1.0,0.2636363636363636,0.2261904761904762,0.7619047619047619,0.22709482504526507
2017.0,37,0.545,0.14300000000000002,0.8,8.0,6.0,1.0,2.0,1.0,6.0,16.0,0.0,104.0,101.0,104.0,101.0,0.0,12.0,22.0,4.0,5.0,1.0,7.0,2017-12,0.17850000000000002,4.5,1.25,7.25,2017.75,1.0,0.5469999999999999,19.25,10.5,0.8785000000000001,4.75,4.0,110.75,116.0,0.5,111.75,1.25,7.75,3.25,4.0,106.5,0.5,0.14285714285714285,0.8,0.15384615384615385,0.17857142857142855,0.8785714285714286,0.20059573358554367
2017.0,38,0.353,0.0,0.8,10.0,14.0,0.0,5.0,2.0,4.0,20.0,0.0,109.0,95.0,109.0,95.0,0.0,6.0,17.0,4.0,5.0,0.0,2.0,2017-12,0.035750000000000004,3.25,0.25,8.5,2017.5,0.75,0.50475,17.75,9.0,0.8999999999999999,4.25,3.75,106.25,110.5,0.25,102.75,1.5,7.75,3.0,4.25,98.5,0.25,0.0,0.8,0.1834862385321101,0.03571428571428571,0.9,0.2090657184154216
2017.0,40,0.389,0.28600000000000003,0.571,6.0,6.0,0.0,0.0,2.0,7.0,39.0,0.0,99.0,92.0,99.0,92.0,0.0,7.0,18.0,4.0,7.0,2.0,7.0,2017-12,0.10725000000000001,4.5,0.75,8.5,2017.25,0.5,0.46875,18.5,8.75,0.79275,5.25,4.0,105.5,109.75,0.25,103.75,1.75,7.5,2.75,5.0,99.5,0.25,0.2857142857142857,0.5714285714285714,0.3939393939393939,0.10714285714285714,0.7928571428571429,0.2487270374885054
2017.0,34,0.636,0.545,1.0,1.0,7.0,2.0,3.0,1.0,7.0,20.0,0.0,119.0,116.0,119.0,116.0,0.0,14.0,22.0,5.0,5.0,6.0,11.0,2017-12,0.24350000000000002,6.75,2.25,8.25,2017.0,0.75,0.48075,19.75,9.75,0.7927500000000001,5.5,4.25,107.75,107.75,0.0,101.0,1.5,6.25,2.5,6.0,101.0,0.0,0.5454545454545454,1.0,0.16806722689075632,0.2435064935064935,0.7928571428571429,0.22483475330210353
2017.0,41,0.348,0.28600000000000003,0.667,11.0,15.0,1.0,0.0,4.0,6.0,29.0,1.0,106.0,99.0,99.0,106.0,1.0,8.0,23.0,2.0,3.0,2.0,7.0,2017-12,0.27925,6.75,2.5,10.5,2017.0,0.75,0.4315,20.0,8.75,0.7595000000000001,5.0,3.75,106.5,108.25,0.25,102.25,2.25,7.0,2.0,6.0,100.5,0.25,0.2857142857142857,0.6666666666666666,0.29292929292929293,0.27922077922077926,0.7595238095238096,0.25960553807288833
